501,69.36,114.09,-183.46,51.97,-90,143,88,112,0,0,0,0,-47
502,79.47,127.82,-207.3,52.31,-90,146,89,115,0,0,0,0,-47
503,71.08,117.69,-188.78,51.87,-90,147,90,115,0,0,0,0,-46
504,68.68,135.73,-204.42,49.26,-90,146,95,110,0,0,0,0,-47
505,77.66,117.81,-195.47,53.22,-90,146,87,116,0,0,0,0,-46
506,71.96,120.74,-192.7,51.67,-90,144,89,112,0,0,0,0,-46
507,53.59,124.28,-177.88,47.06,-90,145,98,106,0,0,0,0,-47
508,70.68,123.92,-194.61,51.01,-90,145,91,112,0,0,0,0,-47
509,79.41,131.62,-211.03,51.86,-90,146,90,114,0,0,0,0,-47
510,70.62,144.99,-215.62,48.72,-90,145,95,108,0,0,0,0,-48
513,63.7,117.59,-181.29,50.25,-90,145,92,111,0,0,0,0,-48
514,58.97,132.91,-191.89,47.44,-90,144,97,106,0,0,0,0,-51
515,63.1,146.27,-209.38,47.07,-90,145,98,106,0,0,0,0,-53
516,73.95,101.26,-175.21,53.04,-69.38,145,81,115,30,0,0,0,-47
517,85.98,104.84,-190.83,56.72,-90,144,79,120,0,0,0,0,-46
518,68.05,118.4,-186.45,51.12,-90,141,88,109,0,0,0,0,-47
519,63.28,95.36,-158.64,45.37,-48.95,138,73,98,63,0,0,0,-52
520,63.69,146.14,-209.83,47.2,-90,137,93,100,0,0,0,0,-48
521,68.17,135.42,-203.6,49.19,-90,130,84,98,0,0,0,0,-47
522,86.62,126.23,-212.86,53.85,-90,121,71,97,0,0,0,0,-46
523,80.86,129.72,-210.59,52.35,-90,117,71,92,0,0,0,0,-42
524,96.37,129.32,-225.69,55.17,-90,112,63,91,0,0,0,0,-41
525,99.83,125.63,-225.47,56.21,-90,107,59,88,0,0,0,0,-42
526,121.39,112.31,-233.7,61.27,-90,106,50,92,0,0,0,0,-47
527,136.94,94.87,-231.82,65.97,-90,104,42,94,0,0,0,0,-52
528,112.32,116.2,-228.53,59.42,-90,103,52,88,0,0,0,0,-53
529,123.7,100.33,-224.04,63.43,-90,106,47,94,0,0,0,0,-48
530,123.35,100.39,-223.74,63.38,-90,105,47,93,0,0,0,0,-47
531,135.31,107.28,-242.59,63.8,-90,107,47,96,0,0,0,0,-47
532,128.85,108.93,-237.78,62.75,-90,107,48,95,0,0,0,0,-42
533,124.84,101.77,-226.62,63.35,-90,107,47,95,0,0,0,0,-40
